id,x [nm],y [nm],sigma [nm],intensity [photon]
1,1323.9733099999999,10382.87677,137.91881,1390.67689
2,2973.21481,7682.14994,138.17243,694.57592
3,3123.68611,17095.399390000002,138.20926,1257.29196
4,3074.09828,22629.48721,134.92371,1555.16189
5,4014.6127100000003,10108.24932,134.1989,1186.5715699999996
6,5736.30663,20352.34091,136.6263,1599.59023
7,6761.764340000002,2872.1628600000013,135.38266000000002,2012.9706399999998
8,8899.2271,10143.288709999999,136.33773,1814.56561
9,8892.58007,13368.60707,139.60391,3044.36777
10,12239.8041,22996.4167,134.23286000000002,468.88597999999996
11,12519.22009,927.66791,131.58568,1647.0854
12,13809.452940000001,20317.76828,138.21528999999998,2234.53328
13,14098.605309999999,5697.5199200000025,134.10103999999998,1577.01711
14,14976.84427,874.44281,136.57291,1811.8150899999998
15,15729.96505,5661.45797,136.60336999999998,1200.20015
16,15938.641309999999,8944.67642,132.95668,444.62257999999997
17,16102.45755,18795.80295,136.36547,1171.9497099999999
18,16572.13262,15979.084680000002,135.44043,1580.8569300000001
19,18974.06961,18366.70509,123.08321000000001,1330.2315800000001
20,19296.1795,17843.52821,132.75314,1133.9324800000004
21,22571.9554,5823.191010000001,135.07076999999998,1019.8635199999999
22,22916.25172,14796.594809999999,137.81224,1607.63274
